NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Barton-Breitenberg,60537263000166,myelden1u@usatoday.com,763-57-5758,9073644,2023-10-18,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-10-20
Baumbach Kuvalis and Jacobson,61079117000105,ahancock25@wsj.com,214-28-9058,8622112,2023-10-20,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-10-20
Bednar and Sons,11721921000160,,133-95-3943,2773317,2023-11-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-11-05
Bednar and Sons,11721921000160,oschroeder2k@ocn.ne.jp,133-95-3943,6383725,2023-11-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-11-05
Bogan-Rice,16811931000100,ablazewicz2q@drupal.org,329-18-0427,,2023-11-02,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-11-05
Bogan-Rice,16811931000100,ablazewicz2q@drupal.org,329-18-0427,3533207,2023-11-06,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-11-10
Bogisich O'Keefe and Feil,42278473000103,bogissfh.ss@ss.com,742-63-3038,7059987,2023-11-08,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-11-10
Bogisich O'Keefe and Feil,42278473000103,bogissfh.ss@ss.com,742-63-3038,9823941,2023-11-12,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-11-18
Bosco  Parker and Heller,33130691000105,wglendinningk@europa.eu,835-83-3066,7501424,2023-11-15,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-18
Bosco  Parker and Heller,33130691000105,wglendinningk@europa.eu,835-83-3066,8768535,2023-11-19,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-25
Bosco  Parker and Heller,33130691000105,wglendinningk@europa.eu,835-83-3066,9391810,2023-11-20,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-11-25
Botsford Group,14776142000150,dbreakwell2d@unesco.org,286-44-7158,1644143,2023-11-24,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-11-25

